기간,발생량,재활용,음식물,소각,매립,오염정도
2000,439.3,124,33.7,1.6,280,1
2000,513.6,131,94.6,0.8,287.2,1
2000,345.8,107,20.6,2.5,215.7,0
2000,331.8,86,30.6,6.5,208.7,0
2000,352.8,113,42,5.1,192.7,0
2000,462.7,122,52.7,1.4,286.6,1
2000,366.8,107,44,2.6,213.2,0
2000,449.1,167,35.1,1.4,245.6,1
2000,422.8,182,57.7,1.3,181.8,1
2000,351.9,158,47.2,0,146.7,0
2000,489.1,160,72.7,245,11.4,1
2000,359,116,29,1.7,212.3,0
2000,387.4,133,28.7,5.6,220.1,0
2000,438.4,179,27,2.1,230.3,1
2000,497.4,226,21,235,15.4,1
2000,532.6,215,41,6.1,270.5,1
2000,351.7,112,56,41.3,142.4,0
2000,321.7,133,29.7,5.5,153.5,0
2000,596.2,155,62.7,0.7,377.8,1
2000,388,126,40.3,4,217.7,0
2000,449,130,35.5,6.2,277.3,1
2000,516.1,134,85.4,6.4,290.3,1
2000,794.1,207,170,32.3,384.8,1
2000,813.9,334,74,5.1,400.8,1
2000,467.1,194,65.3,6.4,201.4,1
2001,445.8,91.2,60.1,5.8,288.7,1
2001,587.1,188.5,93.9,1.1,303.6,1
2001,351,97.2,36.1,0.7,217,0
2001,343.9,90.1,52.4,13.4,188,0
2001,356.8,86.9,45.7,5.6,218.6,0
2001,485.7,116.6,73.7,1.1,294.3,1
2001,334.6,86.1,39.8,3.1,205.6,0
2001,504.7,186.5,70.2,0.8,247.2,1
2001,428.5,177.7,59.8,1.3,189.7,1
2001,298.1,106.9,39.9,0,151.3,0
2001,484.4,147.7,104.4,219.5,12.8,1
2001,386.9,119.7,51.8,3.4,212,0
2001,372.4,109.1,29.1,3.7,230.5,0
2001,437.4,160.6,43.1,2.3,231.4,1
2001,581.8,303,26.2,227.9,24.7,1
2001,567.5,240.2,47.1,10.8,269.4,1
2001,405.2,142.6,72.9,119,70.7,1
2001,365.4,155,49.7,8.3,152.4,0
2001,628,162.2,64.2,7,394.6,1
2001,426.9,142,42.9,2.3,239.7,1
2001,501.2,134.1,38.8,8.4,319.9,1
2001,521.1,124.1,107.4,7.4,282.2,1
2001,799,242.1,268.6,158.7,129.6,1
2001,848.9,334.9,117.7,3.1,393.2,1
2001,505.9,222.9,78.5,7.4,197.1,1
2002,455.8,119.5,59.8,5.7,270.8,1
2002,550.1,150.4,91.5,1.4,306.8,1
2002,350.8,98.1,39.6,0,213.1,0
2002,371.9,119.2,52.4,14.5,185.8,0
2002,475,202.3,45.3,7.6,219.8,1
2002,487.3,114.9,71.4,1.9,299.1,1
2002,339.9,102,37,6.3,194.6,0
2002,472.8,164.4,50,4,254.4,1
2002,432.3,179.4,53.3,0.2,199.4,1
2002,257.2,60.4,41.3,0,155.5,0
2002,489.4,160.4,127.9,184.8,16.3,1
2002,404.6,124,54.7,3.4,222.5,1
2002,383.6,111.8,33.3,6.5,232,0
2002,437.2,162.7,41.2,5.1,228.2,1
2002,466.3,195.2,58.7,192.3,20.1,1
2002,560.3,248.3,47.4,7.4,257.2,1
2002,425.9,163,69.1,103.1,90.7,1
2002,342.8,145.6,42.9,8.6,145.7,0
2002,670.3,192.4,59.9,10,408,1
2002,441.1,152.6,38.5,7.7,242.3,1
2002,520.6,180.1,36.5,9,295,1
2002,495.5,116.5,107.7,8.9,262.4,1
2002,861.3,295,272.9,162.8,130.6,1
2002,822.4,328.9,133,10.7,349.8,1
2002,537.9,206.7,93.1,12.7,225.4,1
2003,479.1,155.6,64.5,6.1,252.9,1
2003,546.7,150.4,109.3,2.4,284.6,1
2003,346.2,96.4,39.2,9.7,200.9,0
2003,388.6,138.7,64.3,8.9,176.7,0
2003,465.1,229.1,56.3,8.9,170.8,1
2003,512.1,151,58.4,5.6,297.1,1
2003,340.2,106.6,35.6,11.3,186.7,0
2003,445.4,148.3,55.3,5.3,236.5,1
2003,387.8,153.4,38.4,1.7,194.3,0
2003,286.8,79.4,49.1,0,158.3,0
2003,489.8,158.3,144.8,168.9,17.8,1
2003,382.7,95.4,58.5,3.3,225.5,0
2003,397.9,129.5,41.4,6.6,220.4,0
2003,461.2,196.1,42.6,2.9,219.6,1
2003,432.3,151.3,102.9,148.5,29.6,1
2003,594,279.1,78.5,12.3,224.1,1
2003,444.2,175.7,83.7,111.8,73,1
2003,342,146.6,52.9,10.4,132.1,0
2003,686.4,208.7,64.1,7.2,406.4,1
2003,419.5,137.7,53.1,11.9,216.8,1
2003,563.1,238.3,42,12.5,270.3,1
